experiment,seed,control,treatment,difference_treatment_minus_control,primary_metric,direction
tadm_sparse,30011,0.6666666666666666,0.8333333333333334,0.16666666666666674,retrieval_accuracy,greater
tadm_sparse,30064,0.7555555555555555,0.8888888888888888,0.1333333333333333,retrieval_accuracy,greater
tadm_sparse,30117,0.8333333333333334,0.8666666666666667,0.033333333333333326,retrieval_accuracy,greater
tadm_sparse,30170,0.7333333333333333,0.8222222222222222,0.0888888888888889,retrieval_accuracy,greater
tadm_sparse,30223,0.7444444444444445,0.8444444444444444,0.09999999999999998,retrieval_accuracy,greater
tadm_sparse,30276,0.7555555555555555,0.9333333333333333,0.1777777777777778,retrieval_accuracy,greater
tadm_sparse,30329,0.7888888888888889,0.8555555555555555,0.06666666666666665,retrieval_accuracy,greater
tadm_sparse,30382,0.7444444444444445,0.8888888888888888,0.14444444444444438,retrieval_accuracy,greater
tadm_sparse,30435,0.7222222222222222,0.8333333333333334,0.11111111111111116,retrieval_accuracy,greater
tadm_sparse,30488,0.7666666666666667,0.8555555555555555,0.0888888888888888,retrieval_accuracy,greater
tadm_sparse,30541,0.7444444444444445,0.9,0.15555555555555556,retrieval_accuracy,greater
tadm_sparse,30594,0.8,0.8333333333333334,0.033333333333333326,retrieval_accuracy,greater
tadm_sparse,30647,0.7111111111111111,0.8333333333333334,0.12222222222222223,retrieval_accuracy,greater
tadm_sparse,30700,0.8,0.9111111111111111,0.11111111111111105,retrieval_accuracy,greater
tadm_sparse,30753,0.7222222222222222,0.8777777777777778,0.15555555555555556,retrieval_accuracy,greater
tadm_sparse,30806,0.7888888888888889,0.9111111111111111,0.12222222222222223,retrieval_accuracy,greater
tadm_sparse,30859,0.7333333333333333,0.8666666666666667,0.13333333333333341,retrieval_accuracy,greater
tadm_sparse,30912,0.7666666666666667,0.8777777777777778,0.11111111111111105,retrieval_accuracy,greater
tadm_sparse,30965,0.7333333333333333,0.8666666666666667,0.13333333333333341,retrieval_accuracy,greater
tadm_sparse,31018,0.6666666666666666,0.8333333333333334,0.16666666666666674,retrieval_accuracy,greater
tadm_sparse,31071,0.8111111111111111,0.8333333333333334,0.022222222222222254,retrieval_accuracy,greater
tadm_sparse,31124,0.6888888888888889,0.7888888888888889,0.09999999999999998,retrieval_accuracy,greater
tadm_sparse,31177,0.7666666666666667,0.8444444444444444,0.07777777777777772,retrieval_accuracy,greater
tadm_sparse,31230,0.6888888888888889,0.7777777777777778,0.0888888888888889,retrieval_accuracy,greater
tadm_sparse,31283,0.8111111111111111,0.8555555555555555,0.0444444444444444,retrieval_accuracy,greater
tadm_sparse,31336,0.7333333333333333,0.8444444444444444,0.11111111111111116,retrieval_accuracy,greater
tadm_sparse,31389,0.7222222222222222,0.8444444444444444,0.12222222222222223,retrieval_accuracy,greater
tadm_sparse,31442,0.7777777777777778,0.8111111111111111,0.033333333333333326,retrieval_accuracy,greater
tadm_sparse,31495,0.6888888888888889,0.8666666666666667,0.1777777777777778,retrieval_accuracy,greater
tadm_sparse,31548,0.7888888888888889,0.8333333333333334,0.04444444444444451,retrieval_accuracy,greater
tadm_sparse,31601,0.8111111111111111,0.8222222222222222,0.011111111111111072,retrieval_accuracy,greater
tadm_sparse,31654,0.7333333333333333,0.8666666666666667,0.13333333333333341,retrieval_accuracy,greater
tadm_sparse,31707,0.7333333333333333,0.7777777777777778,0.04444444444444451,retrieval_accuracy,greater
